AARONCOPLAND,"""A Lincoln Portrait"" composer"
ONGOLDENPOND,"1981 Jane Fonda drama"
ONGOLDENPOND,"1981 Katharine Hepburn film"
ONGOLDENPOND,"1981 comedy/drama for which Henry Fonda won an Oscar"
ONGOLDENPOND,"A Kate Oscar film"
ONGOLDENPOND,"Film with two Fondas"
ONGOLDENPOND,"Fonda/Hepburn classic film"
ONGOLDENPOND,"Hepburn Oscar-winner of 1981"
ONGOLDENPOND,"Hepburn's 1981 Oscar-winning movie"
ONGOLDENPOND,"J. Fonda movie"
ONGOLDENPOND,"Katharine Hepburn film"
ONGOLDENPONG,"Praisefull essay about the grandaddy of all video games?"
ONHANDREMARK,"""Yeah, we've got that,"" e.g.?"
ONIONBLOSSOM,"Deep-fried vegetable treat at many state fairs"
ONIONDOMETOP,"It's sharp"
ONLINEBACKER,"Amazon.com investor?"
ONLYMAKEONCE,"End of the quip"
ONLYONEOFTHE,"Part 6 of quote"
ONLYSTANDAND,"Quote: Part III"
ONNOOCCASION,"Never"
ONOMATOPOEIA,"""Chitty Chitty Bang Bang,"" literarily"
ONOMATOPOEIA,"""To the tintinnabulation that so musically wells..."""
ONOMATOPOEIA,"*Words that come from clams"
ONOMATOPOEIA,"... using ___: 'Mary had a wee lamb -- baa! / Its fleece was snowy -- whoosh!'"
ONOMATOPOEIA,"Formation of words like ""buzz"" or ""hiss"""
ONOMATOPOEIA,"PING-PONG"
ONOMATOPOEIA,"Snap, crackle and pop, e.g."
ONONESROCKER,"Mentally sound?"
ONONESROCKER,"Sane?"
ONTHEAVERAGE,"Usually"
ONTHEHORIZON,"Dark clouds--and federal agents--appear ___..."
ONTHEQUIVIVE,"Alert"
ONTHEREBOUND,"After a rejection"
ONTHEREBOUND,"Like some rejected lovers"
ONTHEROCKETS,"""All aboard!"" at NASA?"
ONTHESAMEDAY,"End of the quip"
ONTHEUPANDUP,"Legit"
ONTHEWATERFR,"Marlon Brando film"
ONWHATCOMMON,"Start of a question"
ONYOUTHTODAY,"Part 2 of quip"
OOHPOOPAHDOO,"Ike and Tina Turner hit"
OOLALAWEEWEE,"""And He'd Say ___"" (George Jessel hit)"
OOMPALOOMPAS,"Willy Wonka's work force"
OOOHOOOHOOOH,"Lloyd Price pop hit"
OOOOOOOOOOOI,"Odometer reading on a practically new spaceship"
OOPSDDTAGAIN,"Banned Britney Spears song?"
OPENANDPAPER,"Directions on sealed rolls of printed wall coverings?"
OPENANDSHOOT,"Instructions on an instant camera?"
OPENBOOKEXAM,"*Test that sounds easier than it often is"
OPENHATROOMS,"Storage for visors?"
OPENINGBIDDY,"Lead act in a fussbudget show?"
OPENINGDRIVE,"Gridiron offense's first shot"
OPENINGNIGHT,"Broadway premiere"
OPENINGNOTES,"Tone setters for conductors"
OPENINGPRICE,"Performing surgery on Leontyne?"
OPENNEXTYEAR,"Sign at a construction site, perhaps"
OPENPITBARBQ,"Flamed meat venue, briefly"
OPENPITBARBQ,"Place to find meat over a flame, briefly"
OPENQUESTION,"""Can anyone unlock this door?"""
OPENQUESTION,"Unresolved issue"
OPENRECEIVER,"What Favre hoped Jenn Sterger would be upon seeing his pictures?"
OPENSANDWICH,"Topless lunch"
OPENTHROTTLE,"Full-bore"
OPENYOUREYES,"""Look, bonehead!"""
OPERABUFFOON,"Boor in a box?"
OPERAGLASSES,"Binoculars for the Met"
OPERAGLASSES,"Lorgnettes"
OPERAGLASSES,"Play things"
OPIUMDENSITY,"Measure of neighborhood drug traffic?"
OPPOSITEPAGE,"Girl on the other side?"
OPPRESSAGENT,"Irritating rep?"
OPRAHDONAHUE,"TV show starring Winfrey hitched to Phil?"
OPRAHWINFREY,"""Beloved"" star"
OPRAHWINFREY,"A cheer and a victory are in her name"
OPRAHWINFREY,"Emmy-winning TV host."
OPRAHWINFREY,"Her talk show ended in 2011"
OPRAHWINFREY,"O magazine founder*"
OPTIONAGENCY,"...securities dealer?"
ORANGECOUNTY,"Colorful location in California"
ORANGECOUNTY,"Santa Ana is its seat"
ORANGECOUNTY,"Santa Ana, CA location"
ORANGECOUNTY,"Setting for ""The Real Housewives"""
ORANGECOUNTY,"TV's custom motorcycle makers, ___ Choppers (6,6)"
ORANGEENTREE,"Macaroni and cheese, e.g.?"
ORANGEFINDER,"Fruit picker's location device?"
ORANGEJULIUS,"Answer to 'What kind of juice would you like, Brutus?'"
ORANGEJULIUS,"Fruity beverage on our menu"
ORANGEJULIUS,"Official drink of the 1964 World's Fair (now sold at Dairy Queens)"
ORANGEROUGHY,"Fish with firm white flesh"
ORANGEROUGHY,"Food fish"
ORANGEROUGHY,"Food fish from Down Under (with a Ford)"
ORANGESICLES,"Frozen pops"
ORANGETHINGS,"Theme of this puzzle"
ORATINGSCALE,"System for measuring public speaking proficiency?"
ORATORSASSET,"EYE CONTACT"
ORBITINGBODY,"Holiday team member #5"
ORBTHECRADLE,"Decorate an infant's bed with images of celestial bodies?"
ORCHESTRAPIT,"Conductor's station"
ORCHESTRAPIT,"It's right in front of the stage"
ORCHESTRAPIT,"Some crickets and some snakes"
ORCHESTRAPIT,"Theater area"
ORCHESTRATIP,"""Watch the man waving the stick""?"
ORDEREDPAIRS,"Cartesian-geometry lecture topic: PARIS"
ORDEREDPEARS,"Fruit arranged by a mathematician?"
ORDEROFOMEGA,"Undergrads' Greek leadership society"
OREDETECTIVE,"Tracker of bauxite thieves?"
OREGANOTRAIL,"Old route for westward bound settlers?"
OREISENHOWER,"PART 5 OF STUMPER"
OREOORATORIO,"Musical composition from ""The Cookie Quartet""?"
ORFEOCOOKIES,"Baroque opera snacks?"
ORGANDYDONOR,"Philanthropist of fabric?"
ORGANGRINDER,"Certain street performer"
ORGANGRINDER,"Cranky street performer?"
ORGANGRINDER,"Man with a monkey, stereotypically"
ORGANGRINDER,"Performing monkey's employer"
ORGANGRINDER,"Stereotypical monkey owner"
ORGANICDONOR,"Giver of naturally grown veggies to a food bank?"
ORGASMADDICT,"1977 single by Buzzcocks best enjoyed alone?"
ORHEBECAMEME,"End of quote"
ORIGCOLONIES,"MD, RI, PA, etc. once"
ORIGINALCAST,"Hurl of a master to be copied?"
ORIGINALPART,"Restoration requirement, often"
ORIGINALSHIN,"Leg part that's not a prosthesis?"
ORIGINALSKIN,"First birthday suit?"
ORLANDOBLOOM,"""Pirates of the Caribbean"" star"
ORLANDOBLOOM,"Florida flower?"
ORLANDOLAKES,"Florida's Eola, Concord, Porter, etc.?"
ORLEANSWINSA,"Sports prediction, part 2"
ORMANHOLIDAY,"Vacation of financial adviser Suze?"
ORSONBURRITO,"""Anatomy of a Murder"" star and his dish"
ORTHODOXCHEW,"Standard tobacco wad?"
ORTWOYOUWILL,"Part 4 of quote"
OSAGEORANGES,"Rough-skinned inedible fruits"
OSCARGOLDMAN,"An Academy Award, plus its definition? (or actually, Steve Austin's boss on ""The Six Million Dollar Man"")"
OSCARGOLDMAN,"Six Million Dollar Man character that's doubly apt for this puzzle?"
OSCARMADISON,"""The Odd Couple"" slob"
OSCARMADISON,"Sesame Street capital"
OSCARTERMITE,"Insect eating away at an Academy Award statuette?"
OTANANDBLOND,"Carol sung by C.J. Parker from ""Baywatch""?"
OTBINENGLAND,"London-based place to play the ponies?"
OTHELLODOLLY,"Child's toy in the shape of a Shakespeare character?"
OTHELLOITSME,"Something Iago probably never said?"
OTHERFIFTEEN,"Part 3 of the question"
OUARYCOLUMNS,"Last writes?"
OUCHSUSANNAH,"Response to an awful pun made by actress York?"
OUNCEOFSENSE,"Any intelligence at all"
OURENDISNEAR,"""Tell him to split out"": Lam.4:18"
OUTCASTPARTY,"Pariahs' gathering?"
OUTCOMEOFAGE,"Aches and pains?"
OUTDOORLANDO,"Become the dominant city in central Florida?"
OUTERFREMONT,"Seattle district of state rep. Mary Lou Dickerson, champion of marijuana legalization (anagram of TUNE TO REFORM): 2 wds."
OUTFIELDHAND,"Applause for a trio of Angels?"
OUTGOINGNUTS,"Sociable fanatics?"
OUTINTHECOLD,"His forecasts were ignored, leaving him ___"
OUTINTHECOLD,"Neglected"
OUTINTHEOPEN,"Apparent"
OUTINTHEOPEN,"For all to see"
OUTINTHEOPEN,"Transparent"
OUTINTHEWASH,"COME ---"
OUTLASTSMILK,"End of the quip"
OUTLASTSTRAW,"What the second little pig hoped to do?"
OUTLAWSCHOOL,"Where Billy the Kid studied?"
OUTLETSTORES,"They were traditionally attached to factories"
OUTOFAPICKLE,"Safe?"
OUTOFCONTEXT,"How to quote your opponent"
OUTOFFASHION,"No longer in style"
OUTOFPLAYBOY,"Magazine stand sign?"
OUTOFSORBETS,"Like a freezer free of Häagen-Dazs?"
OUTOFSORTIES,"Done with combat missions?"
OUTOFSORTIES,"Lacking raids?"
OUTOFTHEBLUE,"So ___, he decides to become Sid the Stockbroker..."
OUTOFTHEBLUE,"Unexpectedly"
OUTOFTHEBLUE,"Without warning"
OUTOFTHEGATE,"Where to make a fast break?"
OUTOFTHELOOP,"...leaving downtown Chicago?"
OUTOFTHELUBE,"Too dry, as engine parts?"
OUTOFTHEPAST,"Where Kirk was Whit Sterling"
OUTOFTHEPINK,"Sick?"
OUTOFTHEPOOL,"Done swimming?"
OUTOFTROUBLE,"OFF THE HOOK"
OUTREORFALSE,"What a really outlandish claim may be?"
OUTRESPINACH,"Mighty peculiar salad base?"
OUTTHATIJUST,"Part 4 of remark"
OUTTHEBUBBLY,"Celebrate, in a way"
OUTTHEWINDOW,"Gone, as an opportunity"
OUTWARDBOUND,"Survival-skills organization"
OUTWARDBOUND,"Wilderness-skills organization"
OVERACHIEVER,"Hardly a slacker"
OVERANDABOVE,"In addition to"
OVERANEWLEAF,"End of the quip"
OVERCHARGING,"Electrician's worry?"
OVERDUEBILLS,"Indigent football team"
OVERDUEBILLY,"Crystal, after missing his flight?"
OVERDUEBOOKS,"They may cost you money at the library"
OVERHEADCOST,"Rent, to a business owner"
OVERMYDEADBO,"Turndown #3"
OVERNIGHTGAB,"Pillow talk?"
OVERNIGHTGAB,"Slumber party activity?"
OVERONESHEAD,"In too deep"
OVERREACHING,"Aiming too high"
OVERSIZELOAD,"Sign seen on highways"
OVERSTRESSED,"*Ready to blow?"
OVERTHEBOUND,"Phrase from a popular seagoing song"
OVERTHEWORST,"Past an ailment's peak, e.g."
OVERTIMEGOAL,"Dramatic hockey game ender"
OVERTIMEGOAL,"Exciting hockey game ender"
OVERTIMELOSS,"Heartbreaker of a kind"
OVERWITHHELD,"Due a refund, in a way"
OVINERIPENED,"Like sheep's milk cheese?"
OWEBACKTAXES,"Be indebted to the I.R.S."
OWEMONACOART,"Must return Rainier's paintings"
OWENSCORNING,"Insulation company"
OWETHEPEOPLE,"Feel a need for civic duty?"
OWINGCONCERN,"Debts?"
OWNONESALLEY,"Provide a place for bowlers?"
OXFORDLOAFER,"Lazy British student?"
OXYGENINTENT,"Goal of deep breathing?"
OYSTERPARADE,"Celebration of molluskhood?"
OYTOTHEWORLD,"Global cry of dismay?"
OZONEDEFENSE,"Banning CFC production, e.g.?"
OZONEDEFENSE,"Protection against UV rays?"
OZONEDEFENSE,"Upper atmosphere protection?"
OZZYOSBOURNE,"""Paranoid"" harmonica player"
OZZYOSBOURNE,"Patriarch on an MTV reality show"
PABLOPICASSO,"""Les Demoiselles d'Avignon"" (1907) painter"
PABLOPICASSO,"""Three Musicians"" artist"
PABLOPICASSO,"'Drink to me'"
PABLOPICASSO,"A SCORPIO"
PABLOPICASSO,"A master of collage"
PABLOPICASSO,"Pioneer cubist"
PABLOPIGASSO,"Squealing artist?"
PACEOFCHANGE,"Growth rate?"
PACIFICCOAST,"Big Sur setting"
PACIFICGHOST,"San Diego spirit?"
PACIFICGROVE,"One-time home of John Steinbeck"
PACIFICOCEAN,"Big wet place: 2 wds."
PACIFICOCEAN,"Body of water that covers about 30% of the Earth's surface"
PACIFICPLANT,"Ti"
PACIFICSTATE,"WASHINGTON"
PACKAGESTORE,"Place to buy wine"
PACKINGCOBRA,"Venomous snake preparing for vacation?"
PACKINGORDER,"Shoes, then pants, then... ?"
PACKINGSLIPS,"Activity at Victoria's Secret?"
PACKINGSLIPS,"Job for a lingerie salesclerk?"
PACKTHEHOUSE,"Fill every seat"
PACMANTALITY,"Groupthink for video gamers?"
PADDLEONNIAG,"Risk taking a drop?"
PADDLETENNIS,"Housing start for court players?"
PADDLETENNIS,"Squash relative"
PADRESSPREAD,"Ball team's home field?"
PAFAILCOURSE,"Grim prediction from dad after bombing his grammar final?"
PAGANINIJERK,"Italian composer's reflex?"
PAGEANTBREAK,"Commercial during the Miss America telecast?"
PAGESRAMPAGE,"SINGER PATTI'S FRENZIED BEHAVIOR?"
PAGOPAGODODO,"Samoan simpleton?"
PAGOPAGOGOGO,"1970s music from American Samoa?"
PAINEKILLERS,"Routines that crack up patriot Thomas?"
PAINQUESTION,"""Where does it hurt?"", e.g."
PAINRELIEVER,"Flu season purchase"
PAINTBRUSHES,"Members of the figwort family"
PAINTITBLACK,"1966 Rolling Stones hit"
PAINTREMOVER,"Acetone in our home chemistry set"
PAINTREMOVER,"Coffee, to a GI"
PAINTTHETOWN,"Celebrate boisterously"
PAINTTHINNER,"Do the cover art for a Stephen King novel?"
PAIROFBRACES,"{ }"
PAIROFEIGHTS,"Poker hand that's unlikely to win"
PAIROFMOOERS,"Two cows in love but not married?"
PAIROFPLANTS,"Potted duo?"
PAIROFPLIERS,"Toolbelt item"
PAIROFSHOOTS,"Two filming sessions for a skydiving scene?"
PAIROFSHORTS,"Winners in the animated and live-action categories?"
PAIRSICKNESS,"Folie à deux?"
PAISLEYSHIRT,"Clothing Brad performs in?"
PALACEMALICE,"Castle animosity?"
PALACEVERDES,"Area near L.A. that the king considers his home away from home?"
PALACEVERDES,"Area near L.A. where the king likes to hang out?"
PALAZZOPANTS,"Woman's loose-fitting garment with flared legs"
PALEOZOICERA,"Geologic division"
PALEOZOICERA,"Time of the trilobites"
PALINHANDLER,"Sarah's campaign strategist?"
PALMOFGILEAD,"Tree in an ancient Palestinian region?"
PALOALTOALTO,"California choir member?"
PALOMINONOOK,"Golden steed's stall"
PALPATEFACES,"Check mugs for lumps?"
PAMELALYNDON,"Writer Travers"
PANABOUTTOWN,"Move a movie camera around a community?"
PANAMAHATTIE,"""Let's Be Buddies"" Ethel Merman musical"
PANAMAHATTIE,"1940 Cole Porter musical"
PANAMAHATTIE,"Merman role."
PANAMANORWAY,"Criticize one path to the mansion?"
PANBROKERAGE,"Container business?"
PANCAKEBEKAT,"Some morning fund-raisers"
PANDORASXBOX,"Curious person's video game console?"
PANGANDPLAME,"1994 R.E.M. hit about a gut feeling toward CIA spy Valerie?"
PANGRAMMATIC,"Like the 11-, 12-, and 13-letter people, taken as a trio"
PANICBRAKING,"Frantically putting one's foot down?"
PANICBUTTONS,"Some emergency alarms"
PANICHANDLER,"Banker during a run?"
PANLABYRINTH,"Give a bad review to a Bowie movie?"
PANTHERPARTY,"Colorless political group?"
PANTYHOSTAGE,"Person stuck in some underwear?"
PAPALBULLIES,"Tough Vatican leaders?"
PAPASANCHAIR,"Furniture fad of the '70s"
PAPERBACKBOO,"Short story?"
PAPERBOYWORK,"Early deliveries?"
PAPERFORMING,"Origami?"
PAPERHANGERS,"Some interior decorating handypersons"
PAPERPARASOL,"Strawberry daiquiri accessory"
PAPERPROFITS,"Intangible wealth"
PAPERPROFITS,"Publisher's windfall?"
PAPERPUSHERS,"People with routine desk jobs"
PARACHUTEUMP,"Skydiving referee?"
PARADAGAZINE,"Popular Sunday-paper insert"
PARADEROUTES,"Celebratory courses"
PARADISECITY,"Guns N' Roses hit"
PARADISELOST,"John Milton classic"
PARADISELOST,"Milton epic"
PARADISELOST,"Original source of the phrase ""all hell broke loose"""
PARADISELOST,"Rapid sea?"
PARAFFINALIA,"Definition of 'candles'?"
PARAFFINALIA,"Name for a candle shop?"
PARALLELBARS,"""And our political dissidents are quite accustomed to looking at ___."""
PARALLELBARS,"Event for Li Xiaopeng"
PARALLELBARS,"Gymnastics equipment"
PARALLELPARK,"Do part of a driving test"
PARALLELPARK,"Practice for a driving test"
PARALLELPARK,"Practice for part of a driving test"
PARALLELPARK,"Where drivers play?"
PARDONOFEDEN,"Acquittal for Adam and Eve?"
PARDONSUTTON,"Forgive Dodger Hall of Fame pitcher?"
PAREDHERRING,"Sliced sardines?"
PAREDUCATION,"Golf lessons?"
PARENTALUNIT,"Mom or dad?"
PARENTSTRIKE,"Reason the kids were left alone?"
PAREPEARPAIR,"Skin a couple of fruits?"
PAREPEARPAIR,"Skin two Bartletts?"
PARFOURHOLES,"They're aced very rarely -- by Tommy Nakajima at the 1998 Chinuchi Crowns tournament in Japan, for instance"
PARISSKATING,"Hilton on the ice?"
PARKANDLOCKE,"Chung Hee and Sondra operating a lot?"
PARKCITYUTAH,"Home of the Sundance Film Festival"
PARKERINBACK,"'Put your car behind the building!'"
PARKINGAPRON,"Airfield area"
PARKINGBRAKE,"Standard car feature"
PARKINGLATTE,"Coffee to sip in a stopped car?"
PARKINGMETER,"Carlton C. Magee's invention: 1935"
PARKINGMETER,"Curbside coin-collection device"
PARKINGMETER,"Evidence that time is money?"
PARKINGMETER,"Municipal coin collector"
PARKINGMETER,"Unit of measure in a garage?"
PARKINGMETER,"Urban coin consumer (7,5)"
PARKINGPACES,"Steps taken when storing a car?"
PARKINGSPACE,"City driver's quest (7,5)"
PARKINGSPACE,"Downtown-driver's quest (7,5)"
PARKINGWHEAT,"Farmer's chore?"
PARLORXGAMES,"Event that includes Snowboarding Charades and Motocross 20 Questions?"
PAROFSOCIETY,"Community norm?"
PARROTGLIDER,"One who flies with talkative birds?"
PARTCOMBPANY,"Leave, after seven"
PARTIALSCORE,"Work of a biased composer?"
PARTICULATES,"Smoke, essentially"
PARTINGSHOUT,"The last ""Amen!""?"
PARTISANCHIP,"Ice cream flavor for members of Congress?"
PARTLYANIMAL,"Like a centaur?"
PARTOFITSHUT,"Bit of advice concluded"
PARTOFSPEECH,"Grammarian's concern"
PARTONPARCEL,"Package for Dolly?"
PARTONPARCEL,"What Dollywood was built on?"
PARTONSDOLLY,"Singer's plaything?"
PARTSCOMPANY,"Business that sells components?"
PARTSCOMPANY,"Maker of car components?"
PARTSCOMPANY,"Separates"
PARTSOFASHOE,"They're found at the ends of this puzzle's three other longest answers"
PARTSUNKNOWN,"Destination not yet determined"
PARTTIMEJAVA,"Limited coffee intake?"
PARTYANIMALS,"Gregarious fun lovers"
PARTYASYOUGO,"Do some barhopping?"
PARTYCOMPANY,"Social group?"
PARTYCRACKER,"Unwelcome guest"
PARTYHOPPING,"Activity that went on all night"
PARTYINGGIFT,"Set of shot glasses for Christmas?"
PARTYPOOPERS,"*Get blankets"
PARTYPOOPERS,"Don't invite them!"
PASCALCELERY,"Programmer's veggie?"
PASSATANSWER,"Part of the FAQs on Volkswagen's website?"
PASSATTEMPTS,"Elway had 7,250 in his career"
PASSBYBYPASS,"Skip a detour?"
PASSEDBACALL,"Walked by the set of The Big Sleep, say?"
PASSENGERJET,"Commercial flier"
PASSESMOKING,"Habit that's no longer chic?"
PASSFORASAGE,"End of the saying"
PASSINGFANCY,"Capricious quarterback's preoccupation?"
PASSINGFANCY,"Entertaining quarterback's skill?"
PASSINGFANCY,"The quarterback had a ___"
PASSINGPLANE,"Jet that's gone out of style?"
PASSINGYARDS,"Elway ended with 51,475 of these"
PASSIONFRUIT,"*Juice aroma enhancer"
PASSIONFRUIT,"It's also known as a maypop"
PASSIONFRUIT,"Ovoid tropical delicacy"
PASSIVEVOICE,"""I was called apathetic by my teacher""?"
PASSJUDGMENT,"Give one's verdict"
PASSOVERPLOT,"Schonfield book of 1967, with ""The"""
PASSRECEIVER,"Tight end, or ""hand over phone, please"""
PASSSENTENCE,"Condemn"
PASSSENTENCE,"Make a court judgment"
PASSTHEPLATE,"Solicit funds"
PASTAWESTERN,"Sergio Leone genre?"
PASTEONESELF,"Get a little sloppy with the stickum?"
PASTEONESELF,"Get sloppy with the stickum?"
PASTPRETENSE,"Bygone sham?"
PASTRYMASTER,"King of croissants?"
PASTUREPRIME,"The best beef?"
PATELLACLARK,"1960s singer with a joint name?"
PATENTOFFICE,"Inventors' mecca"
PATHSOFGLORY,"Where Kirk was Colonel Dax"
PATIOMUNSTER,"1960's sitcom ghoul on the terrace?"
PATIOPENDING,"Deck under construction?"
PATONTHEBACK,"Bit of encouragement"
PATONTHEBACK,"Congratulate"
PATONTHEBACK,"Congratulate, in a way"
PATPATMORITA,"Gently touch an actor?"
PATRICIACAKE,"Children's game"
PATRICIACAKE,"Formal children's game?"
PATRICIANEAL,"Actress b. 1/20/26"
PATRICKHENRY,"Founding Father who led the independence movement in Virginia"
PATRICKHENRY,"He said ""Give me liberty or give me death"": 2 wds."
PATRICKLEAHY,"Senator with a part in ""Batman & Robin"" (1997)"
PATRIKSTEFAN,"Thrashers center from Pribram, #1 pick in 1999"
PATRIOTGAMES,"1992 movie featuring Harrison Ford as a former CIA agent"
PATRIOTGAMES,"Tom Clancy novel"
PATROBERTSON,"Founder of the Christian Broadcasting Network"
PATSYINCLINE,"Slope for a sucker?"
PATTONOSWALT,"Comedian who voiced the lead role in ""Ratatouille"""
PATTYLARCENY,"Crime at Burger King?"
PATTYSHEEHAN,"Five-time second-leading money winner on the LPGA Tour"
PAULSARBANES,"Senator once impersonated by Jon Lovitz on ""Saturday Night Live"""
PAULSCOFIELD,"""A Man For All Seasons"" Oscar winner"
PAULSCOFIELD,"Actor who won a Tony for ""A Man for All Seasons"""
PAULWINCHELL,"Jerry Mahoney's manipulator"
PAVEMENTCREW,"Job where you deal with asphalt fumes"
PAWNTOFTHREE,"White's first move (?)"
PAWPAWPAWNER,"One who hocks a tropical fruit?"
PAWPAWPRINTS,"Some fruit still lifes?"
PAXTMEDICINE,"Over-the-counter drug"
PAYFORITSELF,"Salesman's remark: Part 2"
PAYINCREASES,"Folded-up salary check?"
PAYINGINFULL,"Avoiding interest charges"
PAYINGINFULL,"Completely clearing a debt"
PAYINGRETAIL,"Eschewing discounts (hidden celeb 5)"
PAYNESTEWART,"Correct answer # 2"
PAYNESTEWART,"He won three majors in the last ten years of his life"
PAYNESTEWART,"U.S. Open winner in 1991 and 1999"
PCLOADLETTER,"Classic reason to call the IT guy #2"
PEACEOFFICER,"Member of the police"
PEACEONEARTH,"Christmas card sentiment"
PEACEONEARTH,"Holiday wish"
PEACHCOBBLER,"Crusty dessert"
PEACHGOBBLER,"Glutton for fuzzy fruit?"
PEACHICKPITS,"Craters full of fowl with proud parents?"
PEANUTBUFFER,"Legume polisher?"
PEANUTBUTTER,"Jelly companion"
PEANUTBUTTER,"Roof-of-the-mouth sticker"
PEANUTCOLADA,"Snack-lover's favorite drink?"
PEANUTFARMER,"JIMMY CARTER"
PEARLISLANDS,"Gulf of Panama archipelago"
PEARLYWHITES,":-D display"
PEARLYWHITES,"Teeth"
PEARLYWHITES,"Teeth, in slang"
PEAROFQUEENS,"Fine lumber from NYC?: 3 wds."
PEAROFQUEENS,"Royal fruit?"
PEARPRESSURE,"Fruity teen burden?"
PEARPRESSURE,"Stress produced by a fruit?"
PEARSINSYRUP,"Canned fruit option"
PEASANTVILLE,"Film set in a medieval town?"
PECKINGCOBRA,"Affectionate snake?"
PECKINGORDER,"""Kiss me"""
PECKINGORDER,"Group hierarchy for Gregory"
PECKINGORDER,"Hierarchy of authority"
PECKINGORDER,"Hierarchy within a group"
PECKINGORDER,"Poultry hierarchy"
PECKINGORDER,"Social hierarchy"
PEDALPUSHERS,"Bicyclists & calf-length slacks (5,7)"
PEDALPUSHERS,"Calf-length slacks"
